Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,1n,C1588
"C10, C11",1206,2,10u,C13585
"C12, C13, C15, C16, C2",0603,5,0.1u,C14663
C14,1206,1,2.2u,C50254
"C17, C18, C8",0603,3,10n,C57112
C3,0603,1,22n,C21122
C6,0603,1,470p,C1620
C7,0603,1,4.7n,C53987
C9,1206,1,1u,C1848
D1,TO-220-2_Vertical,1,120V 10A,C10623
D2,D_SOD-123,1,100mA,C177047
D3,D_SOD-123,1,D,C177047
D4,TO-227A-2P,1,Ipeak>10A,C2927414
F1,Fuse_Littelfuse-NANO2-451_453,1,10A,C44479
"J1, J2",Wurth_TerminalBlock_2pin_P5mm_691137710002,2,Screw_Terminal 2pin,C8269
"J3, J4",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,C492401
"JP4, JP5, JP6",PinHeader_1x02_P2.54mm_Vertical,3,~,C492401
L1,L_Bourns_SRP1245A,1,10u,C840531
Q1,Infineon-TG-TDSON-8-NMOS,1,"N-ch, Vds>=60V, low Qgs",C3278729
Q2,Infineon-TG-TDSON-8-NMOS,1,"N-ch, Vds>=60V, low Rds",C501503
"R1, R6",1206,2,1,C2759212
R10,0603,1,120k,
R11,0603,1,100k,
R12,0603,1,10k,
R13,0603,1,47k,
R14,0603,1,2.4k,
R15,0603,1,5.1k,
R16,0603,1,11k,
R17,0603,1,240,
R18,0603,1,390,
R19,0603,1,2k,
R2,1206,1,5m,C7419996
R20,0603,1,1.5k,
R21,0603,1,1.1k,
R22,0603,1,1M,
R23,1225,1,thermal,C22414428
"R3, R4",0603,2,10,C22859
R5,0603,1,62k,
R7,0603,1,2.7k,
R8,0603,1,33k,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,LT3741-1,C671328
U2,TO-252-2,1,LM317_DPAK,C68136
