Designator,Mid X,Mid Y,Rotation,Layer
C1,103.725,-103.0,180.0,top
C10,113.6,-89.4,90.0,top
C11,110.025,-92.9,180.0,top
C14,80.225,-99.8,0.0,top
C15,60.725,-87.5,180.0,top
C16,58.725,-100.5,0.0,top
C17,125.1,-116.325,270.0,top
C18,125.1,-120.575,90.0,top
C19,87.5,-94.82,270.0,top
C2,92.3,-97.925,90.0,top
C20,85.5,-94.82,270.0,top
C21,111.2,-89.4,90.0,top
C22,80.225,-97.5,0.0,top
C23,137.625,-113.6,180.0,top
C24,137.625,-111.3,180.0,top
C25,137.6,-109.0,180.0,top
C26,137.6,-106.7,180.0,top
C27,137.6,-104.4,180.0,top
C28,125.525,-104.4,0.0,top
C29,125.525,-106.7,0.0,top
C3,121.525,-124.025,180.0,top
C30,125.525,-109.0,0.0,top
C31,125.525,-111.3,0.0,top
C32,125.525,-113.6,0.0,top
C4,116.775,-93.0,0.0,top
C5,89.5,-94.82,270.0,top
C6,89.225,-117.0,0.0,top
C7,89.4,-111.475,270.0,top
C8,98.775,-140.0,180.0,top
C9,70.8,-74.55,90.0,top
D1,122.301,-62.423,180.0,top
D2,92.2,-94.05,90.0,top
D3,94.35,-136.65,0.0,top
D4,119.5,-83.0,270.0,top
F1,65.455,-77.5,0.0,top
J1,55.0,-75.0,270.0,top
J2,145.0,-75.0,90.0,top
J3,109.73,-146.0,90.0,top
J4,88.73,-146.0,90.0,top
JP4,70.73,-125.0,90.0,top
JP5,70.73,-131.0,90.0,top
JP6,70.73,-137.0,90.0,top
L1,110.5,-116.35,270.0,top
Q1,106.95,-97.9125,90.0,top
Q2,113.575,-98.1875,270.0,top
R1,102.5,-99.5375,270.0,top
R10,70.275,-108.6,180.0,top
R12,96.0,-140.825,90.0,top
R13,75.975,-112.8,0.0,top
R14,63.635,-124.0,0.0,top
R15,63.635,-130.0,0.0,top
R16,63.635,-136.0,0.0,top
R17,67.5,-92.475,90.0,top
R18,67.5,-88.89,90.0,top
R19,63.635,-126.0,0.0,top
R2,121.5375,-118.5,0.0,top
R20,63.635,-132.0,0.0,top
R21,63.635,-138.0,0.0,top
R22,71.175,-121.5,180.0,top
R24,73.8,-70.5375,90.0,top
R25,83.4,-93.475,270.0,top
R26,77.475,-87.0,180.0,top
R3,120.8,-121.7,270.0,top
R4,122.3,-121.7,270.0,top
R5,132.175,-119.0,0.0,top
R6,118.0,-96.4625,90.0,top
R7,132.175,-121.0,180.0,top
R8,87.9,-111.525,270.0,top
R9,77.475,-88.5,0.0,top
U2,61.975,-95.065,270.0,top
U3,87.615,-102.02,270.0,top
