Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3",1206,3,100nF 200V,C113894
"C11, C8",0603,2,1u,C15849
C12,0603,1,0.22u,C21120
C13,0603,1,1n,C1588
"C21, C4, C5, C6, C7",0603,5,0.1u,C14663
C9,1206,1,10uF 50V,C13585
"D1, D2, D5",D_SMC,3,150V 2A,C241922
D3,0603,1,LED,C2286
D4,0603,1,LED,C126319
F1,Fuse_Littelfuse-NANO2-451_453,1,2A,C142852
"J1, J2",Wurth_TerminalBlock_2pin_P5mm_691137710002,2,Screw_Terminal 2pin,C8269
"J3, J4",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,C42431798
J5,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,C7499322
"JP1, JP2, JP4",PinHeader_1x02_P2.54mm_Vertical,3,Jumper_2_Small_Open,C42431798
L1,L_12x12mm_H8mm,1,"100uH, Isat=2.7A",C2453104
"L2, L3, L4, L5",L_Toroid_Vertical_L16.0mm_W8.0mm_P7.62mm,4,220u,C18213922
Q1,SOT-223-3_TabPin2,1,Q_NMOS_GDS,C537930
R1,1206,1,100mΩ 120V,C25334
R14,0603,1,270,C22966
R15,0603,1,820,C23253
R16,1206,1,470k 150V,C17997
"R17, R19, R20, R21",0603,4,100k,C25803
R18,0603,1,7.5k,C23234
"R6, R7",0603,2,10k,C25804
"SW1, SW2, SW3",SW_DIP_SPSTx02_Slide_9.78x7.26mm_W8.61mm_P2.54mm,3,SW_DIP_x02,C3293152
U11,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,C507118
U2,SOT-23-5,1,INA281A2,C2908677
U3,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LTC7001,C690094
U4,SOT-23-5,1,TLV3201,C105188
U5,TO-252-2,1,LM317_DPAK,C68136
U6,AD-MSOP-LT8365,1,LT8365,C673785
