Designator,Mid X,Mid Y,Rotation,Layer
C1,101.5,-62.525,90.0,top
C10,91.025,-71.0,180.0,top
C11,78.475,-70.75,180.0,top
C12,84.75,-78.975,270.0,top
C13,78.4,-72.8,0.0,top
C14,108.375,-106.6,180.0,top
C15,123.6375,-117.175,270.0,top
C16,64.0,-137.355,90.0,top
C17,67.0,-137.355,90.0,top
C18,70.0,-137.355,90.0,top
C19,73.0,-137.355,90.0,top
C20,72.25,-107.475,270.0,top
C21,89.25,-107.525,270.0,top
C22,84.73,-137.5,90.0,top
C23,87.73,-137.5,90.0,top
C3,108.5,-76.525,90.0,top
C4,116.92,-78.305,270.0,top
C5,118.275,-56.5,0.0,top
C6,119.975,-109.25,0.0,top
C7,57.0,-85.325,0.0,top
C8,56.975,-89.0,0.0,top
C9,73.25,-57.025,90.0,top
D1,133.1,-77.5,180.0,top
D2,92.25,-64.65,90.0,top
F1,65.045,-78.5,0.0,top
J1,55.25,-76.0,270.0,top
J2,145.0,-75.75,90.0,top
J3,76.23,-147.0,90.0,top
J4,110.225,-147.0,90.0,top
JP1,121.5,-93.505,180.0,top
JP2,126.5,-93.505,180.0,top
JP4,131.5,-93.505,180.0,top
JP6,136.5,-93.505,180.0,top
L1,81.7,-60.75,0.0,top
Q1,104.65,-68.5,0.0,top
R1,114.5375,-66.0,0.0,top
R10,97.0,-137.825,270.0,top
R11,100.0,-137.825,270.0,top
R12,103.0,-137.825,270.0,top
R13,106.0,-137.825,270.0,top
R14,67.0,-88.075,90.0,top
R15,67.0,-84.925,90.0,top
R16,92.5,-74.4625,90.0,top
R17,78.45,-74.3,0.0,top
R18,89.825,-76.0,0.0,top
R19,86.5,-79.025,90.0,top
R2,121.0,-87.3125,90.0,top
R20,64.0,-133.805,90.0,top
R21,67.0,-133.805,90.0,top
R22,70.0,-133.805,90.0,top
R23,73.0,-133.805,90.0,top
R24,84.73,-133.95,90.0,top
R25,87.73,-133.95,90.0,top
R26,76.25,-121.5,90.0,top
R27,90.5,-121.825,270.0,top
R3,126.0,-87.3125,90.0,top
R4,131.0,-87.3125,90.0,top
R5,136.0,-87.3125,90.0,top
R6,97.0,-133.825,270.0,top
R7,100.0,-133.825,270.0,top
R8,103.0,-133.825,270.0,top
R9,106.0,-133.825,270.0,top
SW1,101.0,-125.0,90.0,top
SW2,68.19,-125.0,90.0,top
SW3,85.23,-125.195,90.0,top
U1,125.0,-66.0,180.0,top
U10,84.775,-110.365,270.0,top
U2,114.3625,-57.55,180.0,top
U3,112.92,-76.03,90.0,top
U4,116.7,-107.9375,90.0,top
U5,62.25,-90.49,270.0,top
U6,83.53385,-69.999998,0.0,top
U7,102.8875,-108.55,270.0,top
U8,118.8875,-120.45,270.0,top
U9,67.775,-110.365,270.0,top
