Designator,Mid X,Mid Y,Rotation,Layer
C10,146.255,-82.169,180.0,top
C11,146.255,-79.756,180.0,top
C12,146.255,-87.249,180.0,top
C13,146.255,-84.709,180.0,top
C15,144.018,-103.837,270.0,top
C16,146.682,-100.125,90.0,top
C17,106.729,-111.506,180.0,top
C18,106.382675,-132.97285,270.0,top
C20,100.845475,-119.41145,90.0,top
C21,97.269,-127.762,180.0,top
C22,96.7486,-121.2218,270.0,top
C23,129.019,-133.35,180.0,top
C24,175.006,-103.173,270.0,top
C25,170.18,-82.042,180.0,top
C26,169.721,-106.934,180.0,top
C27,169.877,-115.57,180.0,top
C28,175.641,-111.936,270.0,top
C29,172.453,-68.834,0.0,top
C3,94.8556,-75.833,180.0,top
C30,172.453,-65.786,0.0,top
C4,86.106,-83.299,90.0,top
C5,138.557,-140.317,270.0,top
C6,134.366,-140.317,270.0,top
C7,129.051,-125.537,0.0,top
C8,150.622,-107.95,180.0,top
C9,175.768,-78.281,270.0,top
D1,70.2125,-130.0,180.0,top
D10,173.702,-106.934,180.0,top
D11,173.99,-115.57,180.0,top
D12,170.824,-72.644,0.0,top
D2,151.0,-117.5,0.0,top
D3,170.9675,-59.094,180.0,top
D4,124.3,-125.537,180.0,top
D6,173.77,-81.788,180.0,top
D7,107.334275,-129.83845,0.0,top
D8,86.072,-74.422,0.0,top
D9,76.962,-83.278,90.0,top
F1,145.161,-57.319,270.0,top
J1,154.726,-54.864,180.0,top
J2,123.297,-55.664,0.0,top
J4,102.362,-55.118,180.0,top
J6,84.499985,-55.075,180.0,top
J7,195.326,-94.488,90.0,top
J8,62.484,-97.5868,0.0,top
J9,80.264,-97.5868,180.0,top
L1,145.0,-70.0,270.0,top
L2,111.252,-121.02165,270.0,top
L4,121.632602,-79.954204,0.0,top
Q14,166.146587,-87.7848,180.0,top
Q15,173.954,-87.727,180.0,top
Q16,166.207,-95.25,180.0,top
Q17,173.954,-95.197,180.0,top
Q18,166.141,-121.158,180.0,top
Q19,173.862613,-121.068,180.0,top
Q2,151.705,-97.212,90.0,top
Q6,151.638,-89.565587,90.0,top
Q7,135.098,-134.148,270.0,top
R1,72.39,-126.731,90.0,top
R14,135.8635,-97.282,180.0,top
R15,133.5185,-121.666,0.0,top
R18,102.980975,-129.78765,0.0,top
R19,98.2726,-121.221,270.0,top
R20,99.631,-129.921,0.0,top
R22,97.346,-126.111,0.0,top
R23,67.881,-73.406,0.0,top
R24,67.881,-75.946,0.0,top
R25,66.548,-117.157,270.0,top
R26,68.072,-118.047,90.0,top
R3,166.815,-59.094,0.0,top
U1,141.667,-98.679,180.0,top
U10,169.737,-102.997,180.0,top
U11,170.499,-111.633,180.0,top
U12,153.924,-107.6465,90.0,top
U2,93.472,-83.058,270.0,top
U3,177.865,-66.802,180.0,top
U4,101.607475,-124.14885,270.0,top
U5,127.413,-129.728,180.0,top
U6,85.156,-87.0435,270.0,top
U9,170.45,-77.851,180.0,top
