Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,1u,C52923
"C3, C4, C5",0603,3,22u,C59461
"C6, C7",0603,2,1u,C15849
D1,0603,1,LED,C126319
D2,0603,1,LED,C510024
D3,0603,1,LED,C2286
J1,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,I2C/XH,C48641715
"J2, J4",Molex_Connector_8pin_P1mm_526100872,2,Conn_01x08_Pin,C588214
J3,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,36V IN,C42391660
J5,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
PS1,Converter_DCDC_Murata_MEE1SxxxxSC_THT,1,MEE1S0505SC,C7465178
R1,0402,1,100k,C25741
"R2, R3, R4, R6",0402,4,10k,C25744
R5,0402,1,40.2k,C25893
R7,0402,1,15.8k,C26956
U1,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,C507118
U2,TI-RDN0011A-MFG,1,TPSM365R6,C6723000
