Designator,Mid X,Mid Y,Rotation,Layer
C1,63.22,-81.0,180.0,top
C2,81.3,-64.68,90.0,top
C3,81.0,-78.475,90.0,top
C4,79.625,-74.3,180.0,top
C5,79.625,-72.8,180.0,top
C6,75.525,-67.9,180.0,top
C7,75.525,-66.3,180.0,top
D1,55.0,-97.0,90.0,top
D2,60.0,-97.0,90.0,top
D3,65.0,-97.0,90.0,top
J1,76.5,-90.0,0.0,top
J2,61.0,-70.0,0.0,top
J3,85.2,-60.575,270.0,top
J4,61.0,-61.0,0.0,top
J5,53.0,-82.73,0.0,top
PS1,83.8,-75.47,0.0,top
R1,55.6,-78.99,90.0,top
R2,57.1,-96.6,90.0,top
R3,62.1,-96.5,90.0,top
R4,67.3,-96.49,90.0,top
R5,83.5,-67.61,90.0,top
R6,84.5,-67.61,270.0,top
R7,79.4,-64.19,90.0,top
U1,66.4,-80.8,0.0,top
U2,79.9,-68.037502,0.0,top
