Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,1n,C1523
"C10, C11, C21, C23, C24, C25",1206,6,10u,C13585
C12,0805,1,22n,C5128361
C14,0603,1,2.2u,C23630
"C15, C16, C33, C35",0402,4,0.1u,C307331
"C17, C18",0402,2,10n,C15195
"C19, C20, C5",0805,3,10u,C1713
"C2, C8",0603,2,220n,C21120
C22,1206,1,10u,C89632
C26,0402,1,1u,C52923
C27,0603,1,10u,C96446
"C29, C30",0603,2,1u,C15849
C3,0402,1,22n,C1532
C6,0402,1,470p,C26412
C7,0402,1,4.7n,C1538
C9,0805,1,1u,C28323
D1,VISHAY-SMPC,1,~,C968542
D2,D_SOD-123,1,~,C177047
D3,D_SOD-123,1,D,C177047
D4,TO-227A-2P,1,Ipeak>10A,C2927414
D5,D_SMB,1,Vz=100V,C150045
D6,TO-227A-2P,1,~,C2927414
D7,0805,1,LED,C2297
D8,0805,1,LED,C5123498
F1,Fuse_Littelfuse-NANO2-451_453,1,10A,C44479
"J1, J2",Wurth_TerminalBlock_2pin_P5mm_691137710002,2,Screw_Terminal 2pin,C8269
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J6,Molex_200528-0080_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08_Pin,C6074066
L1,L_Bourns_SRP1245A,1,10u,C840531
Q1,Infineon-TG-TDSON-8-NMOS,1,"N-ch, Vds>=60V, low Qgs",C3278729
Q2,Infineon-TG-TDSON-8-NMOS,1,"N-ch, Vds>=60V, low Rds",C501503
"R1, R6",1206,2,1,C2759212
R10,0402,1,120k,C144802
R11,2512,1,3.3,C2960811
R12,0402,1,10k,C25744
"R13, R25",0402,2,47k,C25792
R14,0402,1,110k,C138065
R15,0402,1,10k,C513708
"R16, R19",0402,2,1k,C11702
R17,0402,1,240,C852660
R18,0402,1,390,C137997
R2,1206,1,5m,C7419996
R24,2512,1,1,C3000711
R26,0402,1,4.3k,C852817
"R3, R4",0402,2,10,C25077
R5,0402,1,62k,C423271
R7,0402,1,2.7k,C423290
R8,0402,1,33k,C728559
R9,0402,1,82k,C852929
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ADuM1200AR,C15219
U2,TO-252-2,1,LM317_DPAK,C68136
U3,TSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.74x4.75mm,1,LT3763,C459912
U4,TI-RDN0011A-MFG,1,TPSM365R6,C6723000
