Designator,Mid X,Mid Y,Rotation,Layer
C1,88.68,-71.0,180.0,top
C10,86.8,-62.225,270.0,top
C11,84.4,-62.225,270.0,top
C12,59.5,-76.5,270.0,top
C14,108.8,-74.925,90.0,top
C15,125.15,-75.495,270.0,top
C16,135.67,-77.975,0.0,top
C17,79.5,-84.98,90.0,top
C18,79.4,-79.52,270.0,top
C19,102.65,-75.7,0.0,top
C2,98.9,-78.225,270.0,top
C20,102.65,-80.1,0.0,top
C21,82.0,-62.225,270.0,top
C22,105.6,-76.525,90.0,top
C23,75.0,-85.475,90.0,top
C24,77.5,-85.475,90.0,top
C25,77.0,-78.525,270.0,top
C26,60.62,-52.9,180.0,top
C27,67.5,-56.875,270.0,top
C29,62.225,-59.0,180.0,top
C3,82.48,-86.5,0.0,top
C30,62.225,-57.49,180.0,top
C33,137.98,-59.9,0.0,top
C35,138.3,-64.1,0.0,top
C4,96.1,-64.92,270.0,top
C5,102.25,-72.9,0.0,top
C6,113.88,-65.52,90.0,top
C7,114.18,-62.0,180.0,top
C8,127.425,-66.5,180.0,top
C9,67.3,-65.95,90.0,top
D1,70.04,-83.0,270.0,top
D2,102.05,-77.9,0.0,top
D3,115.85,-70.8,180.0,top
D4,73.0,-77.54,180.0,top
D5,68.0,-89.85,270.0,top
D6,62.7,-86.54,180.0,top
D7,147.0625,-67.9,180.0,top
D8,147.0625,-73.5,180.0,top
F1,63.455,-70.0,0.0,top
J1,55.0,-67.0,270.0,top
J2,55.0,-83.5,270.0,top
J3,92.55,-53.1,0.0,top
J6,132.7,-55.79,180.0,top
L1,91.45,-80.0,270.0,top
Q1,86.8125,-67.425,180.0,top
Q2,94.6125,-69.0,180.0,top
R1,85.4625,-72.0,0.0,top
R10,109.2,-62.59,90.0,top
R11,64.9625,-76.0,0.0,top
R12,126.89,-67.7,180.0,top
R13,116.31,-73.0,180.0,top
R14,67.4,-54.39,90.0,top
R15,67.4,-52.49,90.0,top
R16,147.89,-66.3,0.0,top
R17,137.65,-76.465,90.0,top
R18,137.65,-74.485,90.0,top
R19,147.79,-71.9,0.0,top
R2,81.5375,-82.0,180.0,top
R24,68.8625,-62.3,0.0,top
R25,108.31,-79.9,180.0,top
R26,107.3,-77.39,270.0,top
R3,83.0,-85.01,270.0,top
R4,82.0,-85.01,270.0,top
R5,73.0,-87.49,270.0,top
R6,93.2625,-64.8,0.0,top
R7,73.0,-89.49,270.0,top
R8,112.21,-62.0,0.0,top
R9,107.3,-75.39,90.0,top
U1,134.095,-62.475,180.0,top
U2,132.065,-73.975,0.0,top
U3,107.98,-68.0,0.0,top
U4,63.9875,-54.4,90.0,top
