Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3",1206,3,100nF 200V,C113894
"C11, C29, C30, C8",0603,4,1u,C15849
C12,0603,1,0.22u,C21120
C13,0603,1,1n,C1588
"C14, C15, C16, C17",0603,4,0.1u,
C2,1812,1,1uF 200V,C3037685
"C21, C4, C5, C6, C7",0603,5,0.1u,C14663
C26,0402,1,1u,C52923
C27,0603,1,10u,C96446
C9,1206,1,10uF 50V,C13585
"D1, D2, D5",D_SMC,3,150V 2A,C241922
D3,0603,1,LED,C165983
D4,0603,1,LED,C126319
D6,D_TUMD2,1,150V 250mA,C509964
D7,0603,1,LED,C2286
F1,Fuse_Littelfuse-NANO2-451_453,1,2A,C142852
"J1, J2",Wurth_TerminalBlock_2pin_P5mm_691137710002,2,Screw_Terminal 2pin,C8269
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,C158012
J5,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,C7499322
J6,Molex_200528-0080_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08_Pin,C6074066
L1,L_12x12mm_H8mm,1,150uH,C338769
Q1,SOT-223-3_TabPin2,1,Q_NMOS_GDS,C537930
R1,1206,1,100mΩ 120V,C25334
R10,0402,1,10k,C513708
R14,0603,1,270,C22966
R15,0603,1,820,C23253
R16,1206,1,430k,
"R17, R19, R20, R21",0603,4,100k,C25803
R18,0603,1,7.5k,C23234
"R2, R7",0603,2,4.7k,C23162
R3,1206,1,100k,C17900
R4,RESI-TO263,1,100,C37794578
R6,0603,1,1k,C21190
R9,0402,1,110k,C138065
"U1, U7",SOIC-8_3.9x4.9mm_P1.27mm,2,ADuM1200AR,C15219
U11,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,C507118
U2,SOT-23-5,1,INA281A2,C2908677
U3,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LTC7001,C690094
U4,SOT-23-5,1,TLV3201,C105188
U5,TO-252-2,1,LM317_DPAK,C68136
U6,AD-MSOP-LT8365,1,LT8365,C673785
U9,TI-RDN0011A-MFG,1,TPSM365R6,C6723000
