Designator,Mid X,Mid Y,Rotation,Layer
C1,94.105,-79.8,180.0,top
C10,87.610798,-59.354436,180.0,top
C11,77.110798,-70.754436,180.0,top
C12,87.360798,-70.354436,0.0,top
C13,74.110798,-72.354436,180.0,top
C14,139.075,-63.0,0.0,top
C15,124.225,-63.0,180.0,top
C16,139.175,-68.1,0.0,top
C17,124.225,-68.0,180.0,top
C2,100.73,-83.2,0.0,top
C21,131.575,-84.6,180.0,top
C26,115.4,-53.28,90.0,top
C27,109.125,-57.3,180.0,top
C29,108.7,-54.1,180.0,top
C3,95.255,-89.8,180.0,top
C30,108.7,-55.6,180.0,top
C4,103.355,-90.6,0.0,top
C5,81.2,-96.1875,90.0,top
C6,113.125,-90.2,180.0,top
C7,105.8,-64.825,270.0,top
C8,115.825,-67.7,0.0,top
C9,76.310798,-68.754436,180.0,top
D1,63.6,-79.3,270.0,top
D2,87.885798,-64.054436,180.0,top
D3,147.5,-76.0,180.0,top
D4,147.4875,-72.2,180.0,top
D5,84.85,-83.5,90.0,top
D6,99.83,-90.8,0.0,top
D7,147.5,-80.0,180.0,top
F1,64.6,-66.555,90.0,top
J1,55.0,-66.5,270.0,top
J2,55.0,-84.0,270.0,top
J3,98.65,-53.4,0.0,top
J5,147.525,-88.52,0.0,top
J6,131.5,-56.09,180.0,top
L1,76.085798,-60.554436,90.0,top
Q1,93.0,-84.8,180.0,top
R1,83.3375,-91.2,180.0,top
R10,116.6,-57.41,270.0,top
R14,118.7,-61.425,90.0,top
R15,118.7,-58.425,90.0,top
R16,91.085798,-69.716936,90.0,top
R17,77.160798,-72.354436,0.0,top
R18,91.410798,-72.854436,180.0,top
R19,87.310798,-71.854436,180.0,top
R2,147.5,-78.5,180.0,top
R20,131.575,-83.0,0.0,top
R21,130.9,-87.475,270.0,top
R3,55.0,-76.0375,90.0,top
R4,73.95,-84.4,90.0,top
R6,147.5,-74.5,180.0,top
R7,147.5,-70.6,180.0,top
R9,115.5,-57.39,90.0,top
U1,134.635,-65.475,180.0,top
U11,127.85,-84.1,180.0,top
U2,84.0625,-96.1,0.0,top
U3,101.13,-87.8,90.0,top
U4,112.5375,-92.75,180.0,top
U5,112.965,-63.375,0.0,top
U6,82.085798,-70.254436,0.0,top
U7,128.635,-65.525,0.0,top
U9,112.787501,-55.700001,0.0,top
